positive_prob,neutral_prob,negative_prob
0.017680908,0.981649,6.700699e-4
3.915475e-4,7.984024e-4,0.99881005
0.001839127,0.0025679148,0.9955929
0.008158848,0.06898658,0.9228546
5.8844866e-4,0.008465752,0.9909458
0.0011579127,0.022794142,0.97604793
6.87162e-4,0.9969523,0.0023605048
0.09380401,0.8766594,0.029536594
0.0037003262,0.6355135,0.3607862
4.574278e-4,0.0014182343,0.9981243
9.638351e-4,0.998626,4.102734e-4
0.9850317,0.0030171315,0.011951175
0.0016707674,6.2125607e-4,0.99770796
8.5399306e-4,2.5977817e-4,0.9988863
0.0032893724,0.9953595,0.0013511066
8.5583865e-4,4.334665e-4,0.99871075
0.0066181906,0.0021048898,0.991277
0.0019460883,0.9974663,5.876493e-4
6.317839e-4,0.0051628696,0.9942054
0.0038460155,0.018363692,0.97779036
5.161307e-4,6.9349597e-4,0.99879044
5.225284e-4,0.0013323292,0.9981451
0.012465303,0.98442125,0.0031134577
4.851964e-4,0.0031666625,0.9963482
4.5363567e-4,9.40319e-4,0.998606
0.010814121,0.9879446,0.0012413239
0.9925833,0.005644388,0.0017723935
0.022791838,0.10697467,0.8702335
0.061097566,0.92555606,0.013346303
0.7769927,0.21830326,0.004704059
0.99022573,0.0049681203,0.0048062108
0.9922276,0.0064704358,0.0013019128
0.001420302,0.007877093,0.9907026
0.99022573,0.0049681203,0.0048062108
0.9922276,0.0064704358,0.0013019128
0.009222537,0.050069172,0.9407083
0.45943388,0.0014047564,0.5391614
7.450603e-4,0.0013461944,0.99790883
0.004504257,6.613533e-4,0.9948344
0.039525613,0.4664742,0.49400023
0.9735163,0.022597482,0.0038861942
0.016795488,0.062331926,0.9208726
0.008671253,0.9875364,0.0037922983
0.005880323,0.17012532,0.8239944
0.03559424,0.9119858,0.052419905
0.20007989,0.7930634,0.0068567703
0.025265478,0.0027652632,0.97196925
0.0030171876,0.0016469875,0.9953359
7.057534e-4,7.3805335e-4,0.9985562
7.1559317e-4,4.867377e-4,0.99879766
9.0279966e-4,0.0057010828,0.9933961
0.013484776,0.14403042,0.84248483
0.98061496,0.015073028,0.004312021
0.6462922,0.2997861,0.05392163
0.0014839168,0.0075871726,0.99092895
0.99871886,6.5465044e-4,6.264908e-4
