X,ID,køn,Political_Orientation,word_id,n,n_doc
4,4,Mand,Right-winged,1223,7,7
4,4,Mand,Right-winged,819,158,87
4,4,Mand,Right-winged,213,210,112
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,890,36,28
4,4,Mand,Right-winged,519,9,9
4,4,Mand,Right-winged,690,64,44
4,4,Mand,Right-winged,173,33,23
4,4,Mand,Right-winged,952,6,6
4,4,Mand,Right-winged,320,63,47
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,643,64,13
4,4,Mand,Right-winged,953,18,12
4,4,Mand,Right-winged,730,58,30
4,4,Mand,Right-winged,1205,14,14
4,4,Mand,Right-winged,235,22,7
4,4,Mand,Right-winged,730,58,30
4,4,Mand,Right-winged,397,58,42
4,4,Mand,Right-winged,380,66,35
4,4,Mand,Right-winged,1280,124,81
4,4,Mand,Right-winged,899,92,55
4,4,Mand,Right-winged,308,53,30
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,118,52,32
4,4,Mand,Right-winged,1072,152,85
4,4,Mand,Right-winged,490,27,23
4,4,Mand,Right-winged,769,222,103
4,4,Mand,Right-winged,94,24,19
4,4,Mand,Right-winged,738,290,101
4,4,Mand,Right-winged,18,53,37
4,4,Mand,Right-winged,690,64,44
4,4,Mand,Right-winged,597,8,5
4,4,Mand,Right-winged,992,21,17
4,4,Mand,Right-winged,794,41,27
4,4,Mand,Right-winged,639,148,69
4,4,Mand,Right-winged,738,290,101
4,4,Mand,Right-winged,597,8,5
4,4,Mand,Right-winged,690,64,44
4,4,Mand,Right-winged,1022,130,67
4,4,Mand,Right-winged,937,27,20
4,4,Mand,Right-winged,344,28,18
4,4,Mand,Right-winged,414,28,19
4,4,Mand,Right-winged,1041,37,26
4,4,Mand,Right-winged,986,11,10
4,4,Mand,Right-winged,369,113,74
4,4,Mand,Right-winged,822,17,15
4,4,Mand,Right-winged,81,27,24
4,4,Mand,Right-winged,721,32,23
4,4,Mand,Right-winged,389,54,30
4,4,Mand,Right-winged,243,15,12
4,4,Mand,Right-winged,73,25,21
4,4,Mand,Right-winged,213,210,112
4,4,Mand,Right-winged,100,33,28
4,4,Mand,Right-winged,629,70,37
4,4,Mand,Right-winged,556,13,5
4,4,Mand,Right-winged,629,70,37
4,4,Mand,Right-winged,1211,10,10
4,4,Mand,Right-winged,1288,174,54
4,4,Mand,Right-winged,1084,7,5
4,4,Mand,Right-winged,56,201,101
4,4,Mand,Right-winged,234,21,10
4,4,Mand,Right-winged,570,61,41
4,4,Mand,Right-winged,899,92,55
4,4,Mand,Right-winged,1227,41,29
4,4,Mand,Right-winged,960,232,102
4,4,Mand,Right-winged,1186,38,8
4,4,Mand,Right-winged,1155,49,27
4,4,Mand,Right-winged,1022,130,67
4,4,Mand,Right-winged,890,36,28
4,4,Mand,Right-winged,838,40,30
4,4,Mand,Right-winged,556,13,5
4,4,Mand,Right-winged,768,79,59
4,4,Mand,Right-winged,796,24,18
4,4,Mand,Right-winged,988,99,53
4,4,Mand,Right-winged,1112,51,35
4,4,Mand,Right-winged,866,28,23
4,4,Mand,Right-winged,1212,17,15
4,4,Mand,Right-winged,971,18,15
